dt,j1,j2,j3,j4,j5,j6,gripper_m
0.0,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.0506,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.1009,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.1515,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.2018,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.2523,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.3027,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.3534,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.4039,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.4542,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.5048,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.5552,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.6055,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.6559,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.7063,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.7565,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.8069,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.8573,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.9075,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
0.9578,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.0081,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.0585,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.109,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.1594,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.2097,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.2601,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.3106,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.361,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.4114,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.4618,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.5123,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.5624,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.6128,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.6631,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.7136,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.764,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.8144,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.8647,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.9152,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
1.9655,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.0158,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.0663,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.1167,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.167,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.2174,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.2677,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.318,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.3685,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.4188,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.4692,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.5195,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.57,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.6202,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.6706,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.721,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.7715,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.8218,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.8723,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.9227,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
2.9732,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.0234,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.0737,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.1241,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.1745,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.2247,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.275,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.3254,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.3757,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.4261,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.4764,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.527,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.5772,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.6277,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.678,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.7286,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.7789,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.8293,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.8795,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.9297,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
3.9801,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.0304,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.0806,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.1307,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.1812,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.2316,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.2816,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.3319,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.382,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.4323,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.4826,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.5331,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.5835,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.6341,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.6843,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.7348,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.7851,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.8354,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.8857,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.9361,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
4.9865,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.0368,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.087,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.1373,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.1876,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.238,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.2883,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
5.3385,0.009495,-0.028833,-0.056357,-0.041853,-0.189089,0.331944,0.0
