timestamp,topic,payload_raw,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,j1,j2,j3,j4,j5,j6,linear,angular,gripper_value,event
2026-05-23T21:36:43.522,system,,,,,,,,,,,,,,,,,arm_initialized
2026-05-23T21:36:55.605,robot/gripper,g 0.09,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:55.606,robot/gripper,g 0.2,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:55.656,robot/gripper,g 0.26,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:55.738,robot/gripper,g 0.32,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:55.831,robot/gripper,g 0.38,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:55.998,robot/gripper,g 0.45,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:56.100,robot/gripper,g 0.47,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:56.212,robot/gripper,g 0.49,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:57.444,robot/gripper,g 0.49,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:57.448,robot/gripper,g 0.51,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:57.561,robot/gripper,g 0.72,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:57.697,robot/gripper,g 0.76,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:57.934,robot/gripper,g 0.76,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:57.938,robot/gripper,g 0.74,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:58.091,robot/gripper,g 0.59,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:58.117,robot/gripper,g 0.51,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:58.281,robot/gripper,g 0.45,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:58.352,robot/gripper,g 0.03,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:58.626,robot/gripper,g 0.03,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:58.788,robot/gripper,g 0.1,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:58.792,robot/gripper,g 0.2,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:59.563,robot/gripper,g 0.22,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:59.565,robot/gripper,g 0.3,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:59.626,robot/gripper,g 0.45,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:36:59.667,robot/gripper,g 0.49,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:00.356,robot/gripper,g 0.49,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:00.359,robot/gripper,g 0.45,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:00.362,robot/gripper,g 0.45,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
2026-05-23T21:37:00.422,robot/gripper,g 0.43,,,,,,,,,,,,,,,,bad_json:Expecting value: line 1 column 1 (char 0)
